"participant","condition","order","trial","response","initial","final","difference","index","image"
6,"prediction","18",21,4,16,12,3,3,"trial_21_diff_4_index_3"
6,"prediction","12",22,5,17,13,3,4,"trial_22_diff_4_index_4"
6,"prediction","11",23,4,19,15,3,5,"trial_23_diff_4_index_5"
6,"prediction","2",24,5,20,16,3,6,"trial_24_diff_4_index_6"
6,"prediction","32",25,4,9,4,4,1,"trial_25_diff_5_index_1"
6,"prediction","37",26,4,14,9,4,2,"trial_26_diff_5_index_2"
6,"prediction","27",27,6,14,9,4,3,"trial_27_diff_5_index_3"
6,"prediction","16",28,1,15,10,4,4,"trial_28_diff_5_index_4"
6,"prediction","20",29,3,15,10,4,5,"trial_29_diff_5_index_5"
6,"prediction","13",30,4,17,12,4,6,"trial_30_diff_5_index_6"
6,"prediction","26",31,6,14,8,5,1,"trial_31_diff_6_index_1"
6,"prediction","30",32,4,14,8,5,2,"trial_32_diff_6_index_2"
6,"prediction","24",33,3,15,9,5,3,"trial_33_diff_6_index_3"
6,"prediction","21",34,5,16,10,5,4,"trial_34_diff_6_index_4"
6,"prediction","15",35,0,18,12,5,5,"trial_35_diff_6_index_5"
6,"prediction","5",36,5,19,13,5,6,"trial_36_diff_6_index_6"
6,"prediction","3",37,4,14,7,6,1,"trial_37_diff_7_index_1"
6,"prediction","28",38,6,14,7,6,2,"trial_38_diff_7_index_2"
6,"prediction","4",39,5,15,8,6,3,"trial_39_diff_7_index_3"
6,"prediction","14",40,3,16,9,6,4,"trial_40_diff_7_index_4"
6,"prediction","17",41,3,16,9,6,5,"trial_41_diff_7_index_5"
6,"prediction","1",42,4,16,9,6,6,"trial_42_diff_7_index_6"
9,"responsibility","1",1,64,8,7,0,1,"trial_1_diff_1_index_1"
9,"responsibility","20",2,22,8,7,0,2,"trial_2_diff_1_index_2"
9,"responsibility","15",3,27,9,8,0,3,"trial_3_diff_1_index_3"
9,"responsibility","8",4,35,10,9,0,4,"trial_4_diff_1_index_4"
9,"responsibility","25",5,0,13,12,0,5,"trial_5_diff_1_index_5"
9,"responsibility","27",6,49,13,12,0,6,"trial_6_diff_1_index_6"
9,"responsibility","7",7,57,7,5,1,1,"trial_7_diff_2_index_1"
9,"responsibility","19",8,76,8,6,1,2,"trial_8_diff_2_index_2"
9,"responsibility","30",9,59,10,8,1,3,"trial_9_diff_2_index_3"
9,"responsibility","16",10,51,12,10,1,4,"trial_10_diff_2_index_4"
9,"responsibility","17",11,47,12,10,1,5,"trial_11_diff_2_index_5"
9,"responsibility","34",12,34,12,10,1,6,"trial_12_diff_2_index_6"
9,"responsibility","32",13,54,12,9,2,1,"trial_13_diff_3_index_1"
9,"responsibility","37",14,98,13,10,2,2,"trial_14_diff_3_index_2"
9,"responsibility","41",15,64,13,10,2,3,"trial_15_diff_3_index_3"
9,"responsibility","40",16,39,15,12,2,4,"trial_16_diff_3_index_4"
9,"responsibility","36",17,0,16,13,2,5,"trial_17_diff_3_index_5"
9,"responsibility","12",18,90,19,16,2,6,"trial_18_diff_3_index_6"
9,"responsibility","18",19,61,9,5,3,1,"trial_19_diff_4_index_1"
9,"responsibility","2",20,33,15,11,3,2,"trial_20_diff_4_index_2"
9,"responsibility","29",21,100,16,12,3,3,"trial_21_diff_4_index_3"
9,"responsibility","4",22,100,17,13,3,4,"trial_22_diff_4_index_4"
9,"responsibility","23",23,79,19,15,3,5,"trial_23_diff_4_index_5"
9,"responsibility","42",24,45,20,16,3,6,"trial_24_diff_4_index_6"
9,"responsibility","13",25,87,9,4,4,1,"trial_25_diff_5_index_1"
9,"responsibility","24",26,38,14,9,4,2,"trial_26_diff_5_index_2"
9,"responsibility","22",27,73,14,9,4,3,"trial_27_diff_5_index_3"
9,"responsibility","21",28,48,15,10,4,4,"trial_28_diff_5_index_4"
9,"responsibility","10",29,39,15,10,4,5,"trial_29_diff_5_index_5"
9,"responsibility","14",30,50,17,12,4,6,"trial_30_diff_5_index_6"
9,"responsibility","5",31,71,14,8,5,1,"trial_31_diff_6_index_1"
9,"responsibility","39",32,85,14,8,5,2,"trial_32_diff_6_index_2"
9,"responsibility","11",33,62,15,9,5,3,"trial_33_diff_6_index_3"
9,"responsibility","28",34,53,16,10,5,4,"trial_34_diff_6_index_4"
9,"responsibility","38",35,27,18,12,5,5,"trial_35_diff_6_index_5"
9,"responsibility","35",36,51,19,13,5,6,"trial_36_diff_6_index_6"
9,"responsibility","6",37,46,14,7,6,1,"trial_37_diff_7_index_1"
9,"responsibility","26",38,46,14,7,6,2,"trial_38_diff_7_index_2"
9,"responsibility","33",39,52,15,8,6,3,"trial_39_diff_7_index_3"
